REF**:2
R1:1
R3:1
A1:1
R4:1
J3:1
R9 (1K):1
R6:1
SW2:1
J6:1
J7:1
J8:1
R5:1
R7:1
J2:1
S1:1
C1:1
J17:1
J5:1
R2:1
J1:1
U1:1
J4:1
J16:1
JP1:1
JP2:1
